Item,Price,Reviews,Image
"APPLE iPhone 13 Mini ((PRODUCT)RED, 256 GB)","₹68,990",4.5,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/i/q/p/iphone-13-mini-mlke3hn-a-apple-original-imag6vp6abdxzuh8.jpeg?q=70
"APPLE iPhone 14 (Midnight, 256 GB)","₹89,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
"APPLE iPhone SE (3rd Gen) (Starlight, 128 GB)","₹52,990",4.3,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/l/h/4/-original-imagca67uzxhrkgd.jpeg?q=70
"APPLE iPhone 12 (Red, 64 GB)","₹50,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8dbzv8vh7t.jpeg?q=70
"APPLE iPhone SE (Black, 128 GB)","₹34,990",4.5,https://rukminim1.flixcart.com/image/312/312/k9loccw0/mobile/p/z/q/apple-iphone-se-mxd02hn-a-original-imafrcpjyscxm8fv.jpeg?q=70
"APPLE iPhone 13 Pro (Silver, 128 GB)","₹1,19,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/e/g/iphone-13-pro-mlvw3hn-a-apple-original-imag6vpcvspnzyfy.jpeg?q=70
"APPLE iPhone 13 mini (Green, 512 GB)","₹79,990",4.5,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/y/j/1/-original-imagca5ge9yrbrzq.jpeg?q=70
"APPLE iPhone 13 Pro (Alpine Green, 512 GB)","₹1,49,900",4.6,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/c/j/j/-original-imagca5hhzsgpycf.jpeg?q=70
"APPLE iPhone 14 Plus (Purple, 256 GB)","₹99,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70
"APPLE iPhone 11 (Yellow, 64 GB)","₹40,999",4.6,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/y/y/z/iphone-11-64-a-mwlw2hn-a-apple-0-original-imafkg25qghgbxmm.jpeg?q=70
"APPLE iPhone 13 Pro (Graphite, 256 GB)","₹1,29,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/m/t/r/iphone-13-pro-mlvv3hn-a-apple-original-imag6vpb7zg6bnvb.jpeg?q=70
"APPLE iPhone SE (Red, 256 GB)","₹42,990",4.5,https://rukminim1.flixcart.com/image/312/312/k9loccw0/mobile/6/8/g/apple-iphone-se-mxvv2hn-a-original-imafrcqmfh4zznmq.jpeg?q=70
"APPLE iPhone 13 Pro Max (Gold, 256 GB)","₹1,39,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/v/c/iphone-13-pro-max-mllh3hn-a-apple-original-imag6vpgpycue85h.jpeg?q=70
